window,train_start,train_end,test_start,test_end,n_test_weeks,total_return,annual_return,volatility,sharpe_ratio,max_drawdown,win_rate,regime
1,2016-02-26,2018-02-16,2018-02-23,2018-08-17,25,-0.05747486165738458,-0.1158431421786853,0.1284741330207704,-0.9016845605796534,-0.07979738820859439,0.48,Bull
2,2016-08-26,2018-08-17,2018-08-24,2019-02-15,25,-0.04876603203554708,-0.09876574893898582,0.15695973808537483,-0.6292425697427217,-0.1489236362944093,0.56,Sideways
3,2017-02-24,2019-02-15,2019-02-22,2019-08-16,25,0.12630150628937797,0.28068317217902594,0.09519675120387171,2.948453267884318,-0.01846436148861741,0.68,Bull
4,2017-08-25,2019-08-16,2019-08-23,2020-02-14,25,0.13031963465743135,0.29020477608946993,0.09806715757947701,2.9592453095653144,-0.04184060691855107,0.72,Bull
5,2018-02-23,2020-02-14,2020-02-21,2020-08-14,25,0.18324435603745592,0.419040656688066,0.2531607599926837,1.6552354191865128,-0.14200076192741862,0.68,Bull
6,2018-08-24,2020-08-14,2020-08-21,2021-02-12,25,0.015084506327277758,0.031631451158601775,0.13951300483511844,0.22672761722812135,-0.0565309234101693,0.52,Bull
7,2019-02-22,2021-02-12,2021-02-19,2021-08-13,25,-0.007481180148992683,-0.015498003951688766,0.0971560430105996,-0.15951662368544542,-0.03603088192110815,0.52,Bull
8,2019-08-23,2021-08-13,2021-08-20,2022-02-11,25,-0.024599578796391852,-0.05048787987802916,0.11888075694352597,-0.42469345902645383,-0.0946779865406655,0.56,Sideways
9,2020-02-21,2022-02-11,2022-02-18,2022-08-12,25,-0.054698307294575255,-0.11041693638377914,0.18108210750896256,-0.6097617147421046,-0.16154325948749126,0.4,Sideways
10,2020-08-21,2022-08-12,2022-08-19,2023-02-10,25,-0.03975586745324833,-0.08091885365335083,0.18359792793088764,-0.4407394711110867,-0.15021372918912712,0.48,Bear
11,2021-02-19,2023-02-10,2023-02-17,2023-08-11,25,0.0989293951169381,0.21679429288679675,0.11208608164290197,1.9341767479880994,-0.028265744629478617,0.6,Bull
12,2021-08-20,2023-08-11,2023-08-18,2024-02-09,25,0.08831970527635558,0.19248659213400598,0.09499730454646542,2.02623214472213,-0.05412248005359688,0.64,Bull
13,2022-02-18,2024-02-09,2024-02-16,2024-08-09,25,0.05142882596902831,0.10994676377734236,0.1397462206062736,0.7867601950188737,-0.0646915873518944,0.56,Bull
14,2022-08-19,2024-08-09,2024-08-16,2025-02-07,25,0.06086516741552983,0.13076718083701766,0.16629974793102248,0.786334209545868,-0.0627967809983434,0.56,Bull
15,2023-02-17,2025-02-07,2025-02-14,2025-08-08,25,0.09338343110686931,0.20405624863413885,0.16302957744577679,1.2516517053600744,-0.10327452305811746,0.56,Bull
